"iso","umd_tree_cover_extent_2010__ha","area__ha"
"HRV",2348219.761872403,5707840.224256239
"HTI",792451.2907057548,2710683.5872706263
"HUN",1991867.859752077,9305263.74442632
"IDN",157793271.7099118,189024469.02160642
"IMN",16049.2724685385,57966.50957255907
"IND",34435273.20931019,315279651.30498576
"IRL",1500431.3949072845,7036644.200084826
"IRN",1370815.4191913304,162173902.7781605
"IRQ",27445.426433159577,44535864.69401601
"ISR",29087.74211508637,2215883.3664283487
"ITA",9437233.51670008,30075442.78397298
"JAM",755059.4260665127,1099979.9327956932
"JEY",1739.3306461739066,12512.551956941577
"JOR",2767.0842396279695,8911879.301308626
"JPN",26256128.442389555,37240327.11823272
"KAZ",4527053.896265265,273053036.22428286
"KEN",3335503.2802122408,58598335.71897244
"KGZ",577909.5403765762,19864898.703857195
"KHM",7641739.74941873,18135960.79359297
"KIR",0.0,689.8485050326894
"KNA",13750.415183945437,26717.787726422524
"KOR",5106668.656935981,10022829.791973604
"KWT",0.0,1738893.795349725
"LAO",17941851.244276337,23000147.786721367
"LBN",57763.00751818711,1023803.8608157999
"LBR",9283496.206019633,9591801.582971176
"LBY",4526.847350517978,84803545.52377015
"LCA",49888.82884121951,61447.62916556149
"LIE",8909.187955629992,16203.80932193846
"LKA",3532232.5625853967,6583727.0145634785
"LSO",10578.832000096148,3054531.162856761
"LTU",2409461.2206723103,6501662.9393534735
"LUX",103462.56744014581,258155.73939609874
"LVA",3690741.5332886763,6470996.260923883
"MAC",431.7431856017993,3412.7864242902588
"MAF",1824.094882505698,5616.342785543931
"MAR",405762.55455119873,41348767.35079179
"MCO",0.3916300133116096,235.29748447835155
"MDA",358429.3757218471,3390780.8390773474
"MDG",16436354.903803993,59144707.32515883
"MDV",2787.1065055792337,27912.71303579458
"MEX",50346718.41485818,195185464.67569405
"MKD",614849.3490253463,2482514.9576146947
"MLI",49160.32886492603,122506968.14455664
"MLT",115.54951064391662,32334.790779291612
"MMR",40919356.86439819,66929667.40516507
"MNE",580119.9424428509,1333523.2587353233
"MNG",3552633.288606815,156624744.50500354
"MOZ",26973824.453990716,78729716.65135112
"MRT",0.8128096919335476,104117150.6411393
"MSR",4414.568529701064,10061.822079144858
"MTQ",77223.10482587935,111787.95517229025
"MUS",89164.08167886871,191366.7644696826
"MWI",1470589.6571771367,11802885.394903783
"MYS",28632040.71423815,32938348.836525258
"MYT",33445.76010411813,39165.17965127702
"NAM",685.3863561196077,82385622.18473864
"NCL",1397591.7127843045,1882559.4074683455
"NER",47.808593488420435,94254534.80135457
"NFK",0.0,4062.5988748338063
"NGA",10934411.386377478,90840998.0204009
"NIC",7622238.537562539,12821978.32677397
"NLD",710845.6132405178,3766566.3643975677
"NOR",13054562.64846051,32512221.03573841
"NPL",4801739.524052714,14766249.544406367
"NRU",0.0,2215.2335263386053
"NZL",11432789.77870726,26716575.09922791
"OMN",0.1474794977116011,30933274.08643688
"PAK",648195.8025819998,87417630.59553997
"PAN",5545904.374454157,7510419.904453662
"PER",78780800.28208974,129281868.51759897
"PHL",18391764.833795108,29585658.162896246
"PLW",40556.81464971757,48743.20538079952
"PNG",42921261.1489469,46363060.45114377
"POL",10635332.936174251,31239917.800089456
"PRI",540759.5245037104,897037.2746448709
"PRK",4996431.225376256,12275519.138589319
"PRT",2171272.6977432817,8955505.678182743
"PRY",20452833.179689374,39958667.52153016
"PSE",853.5727020988486,621996.6833201136
"QAT",0.0,1162493.7996263085
"REU",170199.4422735696,251271.10501461293
"ROU",7652863.047811897,23833793.638775475
"RUS",754743419.1459022,1678430496.9177747
"RWA",517839.781631343,2527769.912182722
"SAU",0.0,191598433.63232034
"SDN",72598.11562892262,187213491.71252784
"SEN",47869.1946674194,19688982.712597392
"SGP",20634.30392047081,69703.6960587886
"SJM",0.0,5238139.498474384
"SLB",2727147.0357325645,2853323.9296892183
"SLE",5426957.740675297,7260135.886148719
"SLV",921957.5671567429,2042272.8589493944
"SMR",983.8386543717404,6122.352960192705
"SOM",146473.07408169558,62086638.354379065
"SPM",10178.114783353309,22663.522839885954
"SRB",2524648.9705579635,7823140.491428766
"SSD",13259458.334312694,62809870.69840573
"STP",14213.420873794099,100217.98772540977
"SUR",13997728.08034448,14642556.865292838
